processed,raw,similarity,ticker,totalEsg
The Walt Disney,The Walt Disney Company,0.7894736842105263,DIS,16.28
Waste Management,Waste Management Inc.,0.8648648648648649,WM,14.94
WEC Energy,WEC Energy Group,0.7692307692307693,WEC,32.62
Wells Fargo,Wells Fargo,1.0,WFC,30.79
Western Digital,Western Digital,1.0,WDC,13.73
Western Union Co,Western Union Co,1.0,WU,20.8
Weyerhaeuser,Weyerhaeuser,1.0,WY,19.04
Whirlpool,Whirlpool Corp.,0.75,WHR,24.58
Williams Companies,Williams Companies,1.0,WMB,23.61
Willis Towers Watson,Willis Towers Watson,1.0,WLTW,22.29
Wynn Resorts,Wynn Resorts Ltd,0.8571428571428571,WYNN,26.72
Xcel Energy,Xcel Energy Inc,0.8461538461538461,XEL,29.32
Xylem,Xylem Inc.,0.6666666666666666,XYL,18.17
Yum! Brands,Yum! Brands Inc,0.8461538461538461,YUM,18.12
Zimmer Biomet,Zimmer Biomet Holdings,0.7428571428571429,ZBH,34.56
Zoetis,Zoetis,1.0,ZTS,28.08
